,Genre,Tags,Positive Reviews,Negative Reviews,Copies Sold,Positive Percentage
393,Simulation,Simulation,272,38,20000-50000,0.8774193548387097
394,Simulation,Strategy,272,38,20000-50000,0.8774193548387097
395,Simulation,Action,272,38,20000-50000,0.8774193548387097
396,Strategy,Simulation,272,38,20000-50000,0.8774193548387097
397,Strategy,Strategy,272,38,20000-50000,0.8774193548387097
398,Strategy,Action,272,38,20000-50000,0.8774193548387097
399,Action,Action,115,18,20000-50000,0.8646616541353384
400,Action,Action,1749,227,200000-500000,0.8851214574898786
401,Action,Indie,1749,227,200000-500000,0.8851214574898786
402,Indie,Action,1749,227,200000-500000,0.8851214574898786
403,Indie,Indie,1749,227,200000-500000,0.8851214574898786
404,Strategy,Strategy,1025,164,100000-200000,0.8620689655172413
405,Strategy,Puzzle,1025,164,100000-200000,0.8620689655172413
406,Strategy,Strategy,91,33,20000-50000,0.7338709677419355
407,Strategy,Simulation,91,33,20000-50000,0.7338709677419355
408,Strategy,Management,91,33,20000-50000,0.7338709677419355
409,Racing,Racing,1977,186,200000-500000,0.9140083217753121
410,Action,Strategy,460,107,50000-100000,0.8112874779541446
411,Action,Action,460,107,50000-100000,0.8112874779541446
412,Strategy,Strategy,460,107,50000-100000,0.8112874779541446
413,Strategy,Action,460,107,50000-100000,0.8112874779541446
414,Racing,Racing,77,100,20000-50000,0.4350282485875706
415,Racing,Simulation,77,100,20000-50000,0.4350282485875706
416,Adventure,Adventure,588,89,100000-200000,0.8685376661742984
417,Adventure,Female Protagonist,588,89,100000-200000,0.8685376661742984
418,Adventure,Story Rich,588,89,100000-200000,0.8685376661742984
419,RPG,Adventure,588,89,100000-200000,0.8685376661742984
420,RPG,Female Protagonist,588,89,100000-200000,0.8685376661742984
421,RPG,Story Rich,588,89,100000-200000,0.8685376661742984
422,Action,Adventure,1152,102,200000-500000,0.9186602870813397
423,Action,Point & Click,1152,102,200000-500000,0.9186602870813397
424,Action,Female Protagonist,1152,102,200000-500000,0.9186602870813397
425,Adventure,Adventure,1152,102,200000-500000,0.9186602870813397
426,Adventure,Point & Click,1152,102,200000-500000,0.9186602870813397
427,Adventure,Female Protagonist,1152,102,200000-500000,0.9186602870813397
428,RPG,Adventure,1152,102,200000-500000,0.9186602870813397
429,RPG,Point & Click,1152,102,200000-500000,0.9186602870813397
430,RPG,Female Protagonist,1152,102,200000-500000,0.9186602870813397
431,Action,Free to Play,1365,226,500000-1000000,0.857950974230044
432,Action,Action,1365,226,500000-1000000,0.857950974230044
433,Free to Play,Free to Play,1365,226,500000-1000000,0.857950974230044
434,Free to Play,Action,1365,226,500000-1000000,0.857950974230044
435,Massively Multiplayer,Free to Play,1365,226,500000-1000000,0.857950974230044
436,Massively Multiplayer,Action,1365,226,500000-1000000,0.857950974230044
437,Action,Strategy,100,15,20000-50000,0.8695652173913043
438,Action,Action,100,15,20000-50000,0.8695652173913043
439,Action,RTS,100,15,20000-50000,0.8695652173913043
440,Strategy,Strategy,100,15,20000-50000,0.8695652173913043
441,Strategy,Action,100,15,20000-50000,0.8695652173913043
442,Strategy,RTS,100,15,20000-50000,0.8695652173913043
443,Indie,Strategy,474,90,50000-100000,0.8404255319148937
444,Indie,Space,474,90,50000-100000,0.8404255319148937
445,Simulation,Strategy,474,90,50000-100000,0.8404255319148937
446,Simulation,Space,474,90,50000-100000,0.8404255319148937
447,Strategy,Strategy,474,90,50000-100000,0.8404255319148937
448,Strategy,Space,474,90,50000-100000,0.8404255319148937
449,Action,Action,569,178,200000-500000,0.7617135207496654
